estadio,ano,partidas,vitorias_casa,vitorias_fora,empates
Estádio Presidente Vargas,2018,5,2,1,2
Estádio de Pituaçu,2018,2,1,0,1
  Estádio do Café,2018,1,0,0,1
 Morumbi,2019,17,9,3,5
Estádio Raimundo Sampaio,2019,17,8,7,2
Arena Condá,2019,19,4,10,5
 Maracanã,2019,37,21,6,10
Arena do Grêmio,2019,17,10,4,3
Arena Castelão,2019,38,19,11,8
Itaipava Arena Fonte Nova,2019,16,6,2,8
Estádio Joaquim Américo Guimarães,2019,19,12,4,3
Allianz Parque,2019,14,9,2,3
Estádio Rei Pelé,2019,18,6,7,5
Estádio José Pinheiro Borda,2019,19,11,2,6
Neo Química Arena,2019,19,10,2,7
 Mineirão,2019,21,7,6,8
  Ressacada,2019,18,1,8,9
Estádio do Governo do Estado de Goiás (Serra Dourada),2019,19,11,5,3
Estádio Vasco da Gama,2019,15,7,5,3
Estádio Urbano Caldeira,2019,18,13,1,4
Estádio Nilton Santos,2019,19,10,7,2
Arena da Amazônia,2019,1,0,0,1
Estádio Municipal Paulo Machado de Carvalho,2019,7,5,0,2
Estádio Nacional de Brasília,2019,5,1,4,0
Estádio de Pituaçu,2019,3,1,2,0
Estádio Francisco Stédile (Centenário),2019,2,2,0,0
Kléber Andrade,2019,1,0,0,1
Estádio Brinco de Ouro,2019,1,1,0,0
Adelmar da Costa Carvalho,2020,13,6,6,1
 Couto Pereira,2020,13,3,7,3
Arena Castelão,2020,27,10,7,10
 Maracanã,2020,26,13,5,8
Estádio Urbano Caldeira,2020,14,6,2,6
Arena do Grêmio,2020,13,8,1,4
Estádio Joaquim Américo Guimarães,2020,14,6,5,3
Nabizão,2020,13,6,4,3
 Mineirão,2020,14,10,1,3
Estádio de Pituaçu,2020,9,4,4,1
Estádio Olímpico Pedro Ludovico Teixeira,2020,10,2,3,5
 Morumbi,2020,14,10,0,4
Estádio José Pinheiro Borda,2020,13,8,1,4
Estádio Vasco da Gama,2020,13,4,5,4
Allianz Parque,2020,12,6,2,4
Estádio da Serrinha,2020,14,4,6,4
Neo Química Arena,2020,13,5,3,5
Estádio Nilton Santos,2020,15,3,7,5
Itaipava Arena Fonte Nova,2020,5,2,3,0
Estádio Antônio Accioly,2020,3,1,1,1
Arena do Grêmio,2021,25,10,7,8
Estádio Nilton Santos,2021,7,3,4,0
Adelmar da Costa Carvalho,2021,17,3,8,6
 Couto Pereira,2021,6,1,2,3
 Maracanã,2021,38,26,8,4
Nabizão,2021,25,11,3,11
Arena Castelão,2021,49,26,11,12
Estádio Antônio Accioly,2021,24,9,2,13
 Morumbi,2021,25,8,5,12
Estádio José Pinheiro Borda,2021,25,12,6,7
Estádio Vasco da Gama,2021,11,5,2,4
Neo Química Arena,2021,26,13,6,7
Allianz Parque,2021,24,12,5,7
Estádio Joaquim Américo Guimarães,2021,24,11,6,7
Estádio Urbano Caldeira,2021,24,12,5,7
 Mineirão,2021,24,21,1,2
Estádio da Serrinha,2021,5,2,2,1
Itaipava Arena Fonte Nova,2021,15,7,3,5
Estádio Nacional de Brasília,2021,1,1,0,0
Arena Pantanal,2021,19,7,6,6
Estádio de Pituaçu,2021,9,4,4,1
Arena Condá,2021,19,0,13,6
Estádio Raimundo Sampaio,2021,19,9,4,6
 Alfredo Jaconi,2021,19,9,4,6
Estádio Municipal General Raulino de Oliveira,2021,2,1,1,0
Estádio do Governo do Estado de Goiás (Serra Dourada),2021,1,0,1,0
Arena de Pernambuco,2021,8,4,2,2
Arena Barueri,2021,1,1,0,0
 Maracanã,2022,33,19,8,6
Estádio Antônio Accioly,2022,17,5,7,5
Allianz Parque,2022,18,12,2,4
 Couto Pereira,2022,19,11,4,4
Estádio Nilton Santos,2022,19,6,9,4
 Mineirão,2022,16,7,5,4
Arena Castelão,2022,38,11,11,16
  Ressacada,2022,19,7,8,4
 Morumbi,2022,19,8,5,6
 Alfredo Jaconi,2022,19,2,8,9
Estádio da Serrinha,2022,19,6,5,8
Neo Química Arena,2022,19,12,3,4
Estádio Raimundo Sampaio,2022,22,10,7,5
Arena Pantanal,2022,19,6,5,8
Estádio Urbano Caldeira,2022,17,8,6,3
Estádio Joaquim Américo Guimarães,2022,19,11,2,6
Estádio José Pinheiro Borda,2022,19,13,1,5
Nabizão,2022,19,8,6,5
Arena Barueri,2022,3,1,0,2
Estádio Nacional de Brasília,2022,3,2,1,0
Estádio Municipal General Raulino de Oliveira,2022,2,2,0,0
Estádio do Governo do Estado de Goiás (Serra Dourada),2022,2,1,1,0
Allianz Parque,2023,16,12,2,2
Estádio Raimundo Sampaio,2023,23,9,13,1
Nabizão,2023,19,11,3,5
Ligga Arena,2023,19,10,1,8
Arena Castelão,2023,18,8,4,6
Estádio Nilton Santos,2023,19,12,3,4
 Mineirão,2023,21,4,6,11
 Maracanã,2023,36,22,5,9
Neo Química Arena,2023,19,6,3,10
 Alfredo Jaconi,2023,1,1,0,0
Arena Pantanal,2023,19,6,7,6
 Morumbi,2023,18,12,3,3
Estádio Beira-Rio,2023,19,9,5,5
Estádio Urbano Caldeira,2023,20,7,6,7
 Couto Pereira,2023,18,3,11,4
Estádio Hailé Pinheiro - Serrinha,2023,19,5,7,7
Itaipava Arena Fonte Nova,2023,19,8,6,5
Estádio São Januário,2023,15,6,8,1
Arena do Grêmio,2023,18,13,3,2
Estádio Joaquim Henrique Nogueira-Arena do jacaré,2023,1,0,1,0
Estádio Municipal Parque do Sabiá,2023,3,0,2,1
Estádio Municipal General Raulino de Oliveira,2023,3,2,0,1
Luso-Brasileiro,2023,1,1,0,0
Arena MRV,2023,9,7,2,0
Estádio Presidente Vargas,2023,1,1,0,0
Kléber Andrade,2023,1,0,1,0
Arena Barueri,2023,3,2,1,0
Arena BRB Mané Garrincha,2023,1,0,1,0
Vila Capanema,2023,1,1,0,0
Estádio Beira-Rio,2024,16,10,2,4
Estádio Heriberto Hülse,2024,21,5,7,9
 Maracanã,2024,38,17,8,13
MorumBIS,2024,17,10,4,3
Ligga Arena,2024,19,7,8,4
Estádio São Januário,2024,16,9,2,5
Estádio Serra Dourada,2024,1,0,1,0
Neo Química Arena,2024,19,10,1,8
 Mineirão,2024,17,9,3,5
 Barradão,2024,19,8,8,3
Arena Fonte Nova,2024,19,11,5,3
Arena do Grêmio,2024,10,6,3,1
Nabizão,2024,19,8,4,7
