estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Arena Pernambuco,2013,Botafogo-RJ,1,1,0,0
Mineirão,2013,Cruzeiro,15,12,2,1
Mané Garrincha,2013,Vasco,2,0,1,1
São Januário,2013,Botafogo-RJ,1,1,0,0
Maracanã,2013,Fluminense,15,5,4,6
Maracanã,2013,Flamengo,11,7,1,3
Maracanã,2013,Botafogo-RJ,14,7,3,4
Maracanã,2013,Vasco,4,2,1,1
Mané Garrincha,2013,Botafogo-RJ,1,0,0,1
Estádio do Vale,2013,Internacional,8,1,3,4
Morenão,2013,Portuguesa,1,1,0,0
Romildão,2013,Corinthians,2,1,0,1
Moacyrzão,2013,Vasco,3,2,1,0
Ressacada,2013,Vasco,1,1,0,0
Pacaembu,2013,Santos,2,2,0,0
Novelli Júnior,2013,Corinthians,1,1,0,0
Fonte Luminosa,2013,Corinthians,2,1,0,1
Castelão (CE),2013,Portuguesa,1,0,0,1
Novelli Júnior,2013,Sao Paulo,2,1,1,0
Parque do Sabiá,2013,Cruzeiro,1,0,0,1
Prudentão,2013,Santos,1,1,0,0
Teixeirão,2013,Santos,1,1,0,0
Maracanã,2014,Fluminense,16,10,2,4
Estádio José Pinheiro Borda,2014,Internacional,17,14,3,0
Arena Condá,2014,Chapecoense,19,8,4,7
Itaipava Arena Fonte Nova,2014,Bahia,16,5,7,4
Morumbi,2014,Sao Paulo,17,11,2,4
Orlando Scarpelli,2014,Athletico-PR,1,1,0,0
Estádio Municipal Parque do Sabiá,2014,Atletico-MG,1,0,0,1
Estádio Nacional de Brasília,2014,Flamengo,1,0,0,1
Estádio Urbano Caldeira,2014,Santos,13,7,4,2
Estádio Heriberto Hülse,2014,Criciuma,19,7,7,5
Couto Pereira,2014,Coritiba,18,9,4,5
Estádio Municipal Paulo Machado de Carvalho,2014,Palmeiras,15,6,6,3
Estádio de Pituaçu,2014,Vitoria,2,0,1,1
Estádio Municipal Parque do Sabiá,2014,Cruzeiro,2,1,0,1
Maracanã,2014,Botafogo-RJ,9,4,3,2
Estádio Municipal Paulo Machado de Carvalho,2014,Corinthians,1,1,0,0
Adelmar da Costa Carvalho,2014,Sport,12,7,3,2
Arena Barueri,2014,Figueirense,1,0,1,0
Arena do Grêmio,2014,Gremio,17,11,3,3
Estádio Municipal Juscelino Kubitschek,2014,Goias,1,1,0,0
Estádio Nacional de Brasília,2014,Athletico-PR,1,0,1,0
Estádio Municipal Paulo Machado de Carvalho,2014,Sao Paulo,1,0,0,1
Maracanã,2014,Flamengo,13,9,3,1
Estádio Raimundo Sampaio,2014,Atletico-MG,16,11,2,3
Arena Barueri,2014,Sao Paulo,1,0,0,1
Estádio do Café,2014,Figueirense,1,0,1,0
Helenão,2014,Goias,1,1,0,0
Mineirão,2014,Cruzeiro,17,14,2,1
Neo Química Arena,2014,Corinthians,15,9,1,5
Estádio Willie Davids,2014,Athletico-PR,2,1,0,1
Arena Pantanal,2014,Santos,2,0,2,0
Moacyrzão,2014,Flamengo,2,0,1,1
Alfredo Jaconi,2014,Gremio,2,1,0,1
Estádio Dr. Oswaldo Teixeira Duarte,2014,Corinthians,2,1,0,1
Estádio do Governo do Estado de Goiás (Serra Dourada),2014,Goias,15,7,4,4
Estádio Doutor Adhemar de Barros,2014,Palmeiras,1,1,0,0
Estádio Alberto Oliveira,2014,Vitoria,2,0,2,0
Arena Barueri,2014,Bahia,1,0,1,0
Orlando Scarpelli,2014,Figueirense,17,7,5,5
Morumbi,2014,Santos,1,0,0,1
Estádio Francisco Stédile (Centenário),2014,Internacional,2,1,1,0
Moacyrzão,2014,Botafogo-RJ,1,0,0,1
Estádio Ipatingão,2014,Atletico-MG,2,1,0,1
Estádio Paulo Constantino,2014,Palmeiras,1,0,1,0
Estádio Municipal Parque do Sabiá,2014,Athletico-PR,1,0,0,1
Morumbi,2014,Flamengo,1,0,0,1
Estádio Alberto Oliveira,2014,Bahia,2,1,1,0
Vila Capanema,2014,Coritiba,1,1,0,0
Primeiro de Maio São Bernardo do Campo,2014,Santos,1,1,0,0
Moacyrzão,2014,Fluminense,1,0,0,1
Estádio Municipal General Raulino de Oliveira,2014,Botafogo-RJ,3,1,1,1
Barradão,2014,Vitoria,14,5,5,4
Estádio Joaquim Américo Guimarães,2014,Athletico-PR,14,8,3,3
Estádio Municipal General Raulino de Oliveira,2014,Fluminense,1,1,0,0
Estádio Nacional de Brasília,2014,Botafogo-RJ,3,1,1,1
Arena de Pernambuco,2014,Sport,7,3,0,4
Estádio Municipal Paulo Machado de Carvalho,2014,Santos,2,2,0,0
Arena Pantanal,2014,Goias,1,1,0,0
Itaipava Arena Fonte Nova,2014,Vitoria,1,1,0,0
Estádio Nacional de Brasília,2014,Fluminense,1,0,0,1
Arena da Amazônia,2014,Botafogo-RJ,2,2,0,0
Arena Pantanal,2014,Corinthians,1,1,0,0
Estádio Vasco da Gama,2014,Botafogo-RJ,1,0,1,0
Mangueirão,2014,Goias,1,0,1,0
Allianz Parque,2014,Palmeiras,2,0,1,1
Castelão de São Luís,2014,Flamengo,1,0,0,1
Arena da Amazônia,2014,Flamengo,1,1,0,0
Arena Condá,2015,Chapecoense,19,9,5,5
Allianz Parque,2015,Palmeiras,17,8,5,4
Maracanã,2015,Fluminense,18,9,6,3
Arena do Grêmio,2015,Gremio,19,14,2,3
Arena Pantanal,2015,Cruzeiro,1,0,1,0
Adelmar da Costa Carvalho,2015,Sport,11,8,0,3
Estádio Joaquim Américo Guimarães,2015,Athletico-PR,18,9,3,6
Morumbi,2015,Sao Paulo,19,12,1,6
Estádio Vasco da Gama,2015,Vasco,8,2,3,3
Ressacada,2015,Avai,19,8,6,5
Estádio do Governo do Estado de Goiás (Serra Dourada),2015,Goias,19,7,8,4
Couto Pereira,2015,Coritiba,19,6,5,8
Estádio Doutor Adhemar de Barros,2015,Corinthians,1,1,0,0
Orlando Scarpelli,2015,Figueirense,19,7,6,6
Estádio Nacional de Brasília,2015,Atletico-MG,1,1,0,0
Maracanã,2015,Flamengo,16,7,7,2
Estádio Urbano Caldeira,2015,Santos,19,15,1,3
Estádio José Pinheiro Borda,2015,Internacional,19,14,2,3
Arena Joinville,2015,Joinville,19,6,6,7
Moisés Lucarelli,2015,Ponte Preta,18,9,5,4
Mineirão,2015,Cruzeiro,18,10,2,6
Estádio Raimundo Sampaio,2015,Atletico-MG,13,8,3,2
Neo Química Arena,2015,Corinthians,18,15,1,2
Arena de Pernambuco,2015,Sport,8,5,1,2
Mineirão,2015,Atletico-MG,5,4,1,0
Arena Pantanal,2015,Vasco,1,1,0,0
Arena Pantanal,2015,Ponte Preta,1,0,1,0
Estádio Nacional de Brasília,2015,Vasco,1,0,1,0
Maracanã,2015,Vasco,8,2,3,3
Arena das Dunas,2015,Flamengo,1,1,0,0
Couto Pereira,2015,Athletico-PR,1,0,1,0
Estádio Nacional de Brasília,2015,Flamengo,2,0,1,1
Estádio Municipal Paulo Machado de Carvalho,2015,Palmeiras,2,1,1,0
Estádio Nilton Santos,2015,Vasco,1,0,1,0
Kléber Andrade,2015,Fluminense,1,1,0,0
Estádio Municipal General Raulino de Oliveira,2016,Flamengo,3,2,0,1
Allianz Parque,2016,Palmeiras,17,13,1,3
Estádio Raimundo Sampaio,2016,Atletico-MG,15,10,3,2
Couto Pereira,2016,Coritiba,18,9,2,7
Estádio do Arruda,2016,Santa Cruz,17,7,9,1
Estádio Municipal General Raulino de Oliveira,2016,Botafogo-RJ,3,1,1,1
Estádio Raimundo Sampaio,2016,America-MG,17,7,7,3
Orlando Scarpelli,2016,Figueirense,19,7,3,9
Neo Química Arena,2016,Corinthians,18,10,2,6
Estádio José Pinheiro Borda,2016,Internacional,19,9,5,5
Moisés Lucarelli,2016,Ponte Preta,19,13,4,2
Estádio Municipal General Raulino de Oliveira,2016,Fluminense,5,1,1,3
Mineirão,2016,Cruzeiro,17,6,5,6
Estádio Urbano Caldeira,2016,Santos,15,12,2,1
Estádio Joaquim Américo Guimarães,2016,Athletico-PR,18,14,1,3
Barradão,2016,Vitoria,15,6,6,3
Arena Condá,2016,Chapecoense,18,8,4,6
Morumbi,2016,Sao Paulo,17,8,4,5
Arena do Grêmio,2016,Gremio,19,11,4,4
Adelmar da Costa Carvalho,2016,Sport,17,9,4,4
Helenão,2016,Botafogo-RJ,4,3,0,1
Itaipava Arena Fonte Nova,2016,Vitoria,3,1,1,1
Vila Capanema,2016,Coritiba,1,0,1,0
Estádio Nacional de Brasília,2016,Botafogo-RJ,1,0,1,0
Estádio Municipal Paulo Machado de Carvalho,2016,Palmeiras,1,1,0,0
Estádio Municipal Paulo Machado de Carvalho,2016,Santos,3,3,0,0
Estádio Nacional de Brasília,2016,Flamengo,4,2,1,1
Estádio Nacional de Brasília,2016,Fluminense,2,1,1,0
Kléber Andrade,2016,Fluminense,2,1,1,0
Mineirão,2016,Atletico-MG,4,3,0,1
Arena das Dunas,2016,Flamengo,1,0,1,0
Kléber Andrade,2016,Flamengo,5,5,0,0
Luso-Brasileiro,2016,Botafogo-RJ,11,6,2,3
Estádio Giulite Coutinho,2016,Fluminense,8,5,2,1
Estádio Alberto Oliveira,2016,Vitoria,1,1,0,0
Arena Pantanal,2016,Santos,1,0,0,1
Estádio Raimundo Sampaio,2016,Cruzeiro,2,1,0,1
Estádio Municipal Paulo Machado de Carvalho,2016,Corinthians,1,0,0,1
Arena de Pernambuco,2016,Sport,2,1,0,1
Arena de Pernambuco,2016,Santa Cruz,1,0,0,1
Estádio Municipal Paulo Machado de Carvalho,2016,Flamengo,2,2,0,0
Estádio do Café,2016,America-MG,1,0,1,0
Arena Pantanal,2016,Santa Cruz,1,0,1,0
Estádio Doutor Adhemar de Barros,2016,Palmeiras,1,0,0,1
Estádio Municipal Paulo Machado de Carvalho,2016,Sao Paulo,2,1,1,0
Vila Capanema,2016,Athletico-PR,1,1,0,0
Maracanã,2016,Flamengo,4,1,0,3
Maracanã,2016,Fluminense,2,0,0,2
Mineirão,2016,America-MG,1,0,1,0
Maracanã,2017,Flamengo,3,0,0,3
Neo Química Arena,2017,Corinthians,19,12,2,5
Maracanã,2017,Fluminense,17,7,6,4
Mineirão,2017,Cruzeiro,19,9,3,7
Moisés Lucarelli,2017,Ponte Preta,19,9,7,3
Ressacada,2017,Avai,19,5,5,9
Itaipava Arena Fonte Nova,2017,Bahia,18,10,5,3
Allianz Parque,2017,Palmeiras,15,9,4,2
Arena do Grêmio,2017,Gremio,18,10,5,3
Couto Pereira,2017,Coritiba,18,7,7,4
Estádio Urbano Caldeira,2017,Santos,13,9,3,1
Estádio do Governo do Estado de Goiás (Serra Dourada),2017,Atletico-GO,4,0,4,0
Arena Condá,2017,Chapecoense,19,9,7,3
Estádio Vasco da Gama,2017,Vasco,12,7,2,3
Itaipava Arena Fonte Nova,2017,Vitoria,2,0,2,0
Estádio Joaquim Américo Guimarães,2017,Athletico-PR,19,8,6,5
Estádio Raimundo Sampaio,2017,Atletico-MG,18,7,7,4
Estádio Nilton Santos,2017,Botafogo-RJ,19,9,7,3
Adelmar da Costa Carvalho,2017,Sport,17,6,4,7
Morumbi,2017,Sao Paulo,14,6,2,6
Estádio Municipal General Raulino de Oliveira,2017,Flamengo,1,0,0,1
Estádio Municipal Paulo Machado de Carvalho,2017,Santos,6,3,0,3
Estádio Olímpico Pedro Ludovico Teixeira,2017,Atletico-GO,15,4,6,5
Barradão,2017,Vitoria,17,3,9,5
Luso-Brasileiro,2017,Flamengo,15,10,3,2
Estádio Municipal Paulo Machado de Carvalho,2017,Palmeiras,4,3,0,1
Vila Capanema,2017,Coritiba,1,0,0,1
Estádio Giulite Coutinho,2017,Fluminense,2,0,0,2
Arena de Pernambuco,2017,Sport,2,1,1,0
Estádio Nilton Santos,2017,Vasco,1,0,0,1
Estádio de Pituaçu,2017,Bahia,1,0,0,1
Estádio Municipal General Raulino de Oliveira,2017,Vasco,3,0,2,1
Mineirão,2017,Atletico-MG,1,0,1,0
Maracanã,2017,Vasco,3,1,0,2
Estádio Municipal Paulo Machado de Carvalho,2017,Sao Paulo,5,3,0,2
Alfredo Jaconi,2017,Gremio,1,0,0,1
Mineirão,2018,Cruzeiro,18,10,4,4
Barradão,2018,Vitoria,19,7,7,5
Estádio Municipal Paulo Machado de Carvalho,2018,Santos,7,2,2,3
Estádio Raimundo Sampaio,2018,America-MG,19,8,4,7
Estádio Vasco da Gama,2018,Vasco,16,9,3,4
Estádio José Pinheiro Borda,2018,Internacional,19,14,1,4
Neo Química Arena,2018,Corinthians,19,9,2,8
Estádio Joaquim Américo Guimarães,2018,Athletico-PR,19,14,3,2
Morumbi,2018,Sao Paulo,19,10,1,8
Estádio Nilton Santos,2018,Botafogo-RJ,19,10,2,7
Itaipava Arena Fonte Nova,2018,Bahia,17,9,2,6
Maracanã,2018,Flamengo,19,14,3,2
Vila Capanema,2018,Parana,18,3,6,9
Arena Castelão,2018,Ceara,14,5,3,6
Estádio Raimundo Sampaio,2018,Atletico-MG,19,12,3,4
Maracanã,2018,Fluminense,16,8,3,5
Arena Condá,2018,Chapecoense,19,10,4,5
Estádio Municipal Paulo Machado de Carvalho,2018,Palmeiras,4,4,0,0
Arena do Grêmio,2018,Gremio,19,12,2,5
Adelmar da Costa Carvalho,2018,Sport,18,8,5,5
Allianz Parque,2018,Palmeiras,15,12,1,2
Estádio Urbano Caldeira,2018,Santos,12,7,2,3
Arena de Pernambuco,2018,Sport,1,0,0,1
Estádio Nacional de Brasília,2018,Fluminense,1,0,1,0
Estádio Presidente Vargas,2018,Ceara,5,2,1,2
Estádio Nacional de Brasília,2018,Vasco,2,0,1,1
Maracanã,2018,Vasco,1,0,1,0
Estádio Nilton Santos,2018,Fluminense,2,1,1,0
Estádio de Pituaçu,2018,Bahia,2,1,0,1
Estádio Raimundo Sampaio,2018,Cruzeiro,1,1,0,0
Estádio do Café,2018,Parana,1,0,0,1
Morumbi,2019,Sao Paulo,17,9,3,5
Estádio Raimundo Sampaio,2019,Atletico-MG,15,8,5,2
Arena Condá,2019,Chapecoense,19,4,10,5
Maracanã,2019,Flamengo,18,16,0,2
Arena do Grêmio,2019,Gremio,17,10,4,3
Arena Castelão,2019,Ceara,19,8,5,6
Itaipava Arena Fonte Nova,2019,Bahia,16,6,2,8
Estádio Joaquim Américo Guimarães,2019,Athletico-PR,19,12,4,3
Allianz Parque,2019,Palmeiras,14,9,2,3
Maracanã,2019,Fluminense,18,5,6,7
Estádio Rei Pelé,2019,CSA,18,6,7,5
Estádio José Pinheiro Borda,2019,Internacional,19,11,2,6
Neo Química Arena,2019,Corinthians,19,10,2,7
Mineirão,2019,Cruzeiro,17,5,4,8
Ressacada,2019,Avai,18,1,8,9
Estádio do Governo do Estado de Goiás (Serra Dourada),2019,Goias,19,11,5,3
