estadio,partidas,vitorias_casa,vitorias_fora,empates,data_primeira_partida,data_ultima_partida,times_casa,latitude,longitude
  Estádio do Café,6,1,3,2,22/10/2003,18/11/2018,"{'Athletico-PR': 2, 'Parana': 2, 'Figueirense': 1, 'America-MG': 1}",-23.2825777,-51.1646091
  Ressacada,134,45,44,45,08/11/2003,09/11/2022,"{'Criciuma': 1, 'Avai': 132, 'Vasco': 1}",-26.9265661,-48.6773506
  Ipatingão,32,14,14,4,22/11/2003,31/08/2011,"{'Atletico-MG': 10, 'Cruzeiro': 3, 'Ipatinga': 19}",-19.4711433,-42.5417032
  Caio Martins,19,8,4,7,21/04/2004,12/12/2004,{'Botafogo-RJ': 19},-19.8588054,-44.3101355
  Parque Antártica,75,43,18,14,21/04/2004,22/05/2010,{'Palmeiras': 75},-23.5274971,-46.6785281
  Raulino de Oliveira,73,38,18,17,24/04/2004,08/06/2013,"{'Flamengo': 31, 'Fluminense': 34, 'Botafogo-RJ': 6, 'Vasco': 2}",-22.5082783,-44.0969542
  Prudentão,25,9,10,6,14/11/2004,24/11/2013,"{'Santos': 2, 'Palmeiras': 3, 'Barueri': 1, 'Gremio Prudente': 19}",-22.098568,-51.4150621
  Colosso da Lagoa,3,0,2,1,14/11/2004,11/12/2004,"{'Juventude': 1, 'Gremio': 2}",-27.6512664,-52.2649018
Teixeirão,5,3,1,1,19/12/2004,01/12/2013,"{'Santos': 2, 'Corinthians': 1, 'Santo Andre': 1, 'Palmeiras': 1}",-8.740405,-63.8440794
  Mané Garrincha,15,3,3,9,24/04/2005,06/10/2013,"{'Brasiliense': 3, 'Botafogo-RJ': 2, 'Fluminense': 1, 'Santos': 1, 'Flamengo': 6, 'Vasco': 2}",2.8258823,-60.7258689
  Luso Brasileiro,34,16,8,10,15/05/2005,04/12/2005,"{'Flamengo': 16, 'Botafogo-RJ': 18}",-22.8988228,-43.5754145
  Boca do Jacaré,18,5,8,5,15/05/2005,04/11/2012,"{'Brasiliense': 17, 'Atletico-GO': 1}",-15.8360896,-48.0806437
  Arruda,21,7,9,5,16/04/2006,22/06/2008,"{'Santa Cruz': 19, 'Nautico': 2}",-8.0250816,-34.8913229
  Kyocera Arena,56,30,11,15,16/04/2006,07/12/2008,{'Athletico-PR': 56},Unk,Unk
  Centenário (*PF),3,3,0,0,13/08/2006,30/08/2006,{'Gremio': 3},Unk,Unk
  Durival de Brito,26,13,8,5,20/09/2006,25/11/2007,{'Parana': 26},Unk,Unk
Machadão,19,2,14,3,13/05/2007,24/11/2007,{'America-RN': 19},-22.5781925,-45.8255477
Ilha do Retiro,76,36,20,20,13/05/2007,25/11/2012,{'Sport': 76},-8.063751,-34.9038034
Aflitos,75,37,22,16,20/05/2007,02/06/2013,{'Nautico': 75},-8.0392007,-34.8967064
Parque do Sabiá,14,7,5,2,19/07/2007,17/11/2013,"{'Flamengo': 1, 'Cruzeiro': 10, 'America-MG': 3}",-18.9130871,-48.2329942
Engenhão,177,88,35,54,06/10/2007,02/12/2012,"{'Botafogo-RJ': 95, 'Flamengo': 35, 'Fluminense': 40, 'Vasco': 7}",-22.893194,-43.2935691
Canindé,63,28,11,24,11/05/2008,08/12/2013,"{'Portuguesa': 53, 'Palmeiras': 10}",-4.3547946,-39.3108516
Palestra Itália,36,24,4,8,18/05/2008,29/11/2009,{'Palmeiras': 36},-23.5295509,-46.6776241
Bruno José Daniel,16,8,5,3,10/05/2009,29/11/2009,{'Santo Andre': 16},-23.6695673,-46.5093186
Arena Barueri,49,23,12,14,17/05/2009,12/05/2024,"{'Barueri': 18, 'Palmeiras': 21, 'Santos': 3, 'Sao Paulo': 5, 'Figueirense': 1, 'Bahia': 1}",-23.5129134,-46.8995163
Arena do Jacaré,71,36,15,20,15/07/2010,09/06/2013,"{'Atletico-MG': 29, 'Cruzeiro': 27, 'America-MG': 15}",-19.4786086,-44.2221061
Fonte Luminosa,7,3,2,2,21/11/2010,10/11/2013,"{'Palmeiras': 4, 'Corinthians': 3}",38.7372982,-9.1305038
Cláudio Moacyr,4,2,1,1,21/05/2011,27/11/2011,{'Flamengo': 4},-22.3566097,-41.7717523
Pituaçu,39,12,10,17,29/05/2011,29/05/2013,{'Bahia': 39},-12.9651749,-38.4143371
Melão,3,2,0,1,10/06/2012,10/10/2012,{'Cruzeiro': 3},-13.5860089,-40.8772088
Moacyrzão,11,5,3,3,26/05/2013,16/07/2014,"{'Fluminense': 5, 'Vasco': 3, 'Flamengo': 2, 'Botafogo-RJ': 1}",-22.357247,-41.7717766
